Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT,AAPL,AMZN,GOOGL,META,MSFT
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02,72.7160873413086,94.90049743652344,68.1083755493164,208.79592895507812,153.32327270507812,72.77661346571647,94.90049743652344,68.1083755493164,208.80587657807078,153.4282761547816,71.46682724691692,93.2074966430664,67.00415768648521,205.30239969610878,151.13731033565847,71.72103401405282,93.75,67.09970156760528,205.780143782338,151.56686460604337,135480400,80580000,27278000,12077100,22622100
2020-01-03,72.00912475585938,93.74849700927734,67.75208282470703,207.691162109375,151.41412353515625,72.7717522953066,94.30999755859375,68.36067681993559,209.41304271631276,152.68370535175205,71.78396939069293,93.2249984741211,67.04546199914073,205.9792291267133,150.87956583671692,71.94133580542943,93.2249984741211,67.07930441454083,206.2380192300166,151.12776374356721,146322800,75288000,23408000,11188400,21116200
2020-01-06,72.58290100097656,95.14399719238281,69.55794525146484,211.6027069091797,151.8054656982422,72.62163859417052,95.18450164794922,69.58332136437583,211.78185524561292,151.87229267766048,70.87606782262263,93.0,67.22858209701914,205.55122615410616,149.39994205440817,71.12785848416316,93.0,67.25992638011208,205.7303744905394,149.94405466189505,118387200,81236000,46768000,17058900,20813700
2020-01-07,72.24153900146484,95.34300231933594,69.42359161376953,212.060546875,150.42137145996094,72.84921605109494,95.69450378417969,69.84109780511007,213.57342090562022,152.41642230295344,72.02122310005907,94.60199737548828,69.24693831666055,210.75669443031993,150.17318812555376,72.59258596559819,95.2249984741211,69.68982062314994,211.82168241930964,152.0823310334366,108872000,80898000,34330000,14912400,21634100
2020-01-08,73.40364074707031,94.59850311279297,69.917724609375,214.21041870117188,152.81732177734375,73.70627127642481,95.55000305175781,70.25660431481994,215.22563820234075,153.4950738351807,71.94375136900179,94.3219985961914,69.30017841973043,211.61266142776498,150.7745396996867,71.94375136900179,94.9020004272461,69.40915447916457,212.00083135656322,151.71001553116633,132079200,70160000,35314000,13475000,27746500
2020-01-09,74.96281433105469,95.05249786376953,70.65171813964844,217.27597045898438,154.72645568847656,75.15649496744561,95.89099884033203,71.09409928302898,217.35559700611174,154.8505546161972,74.13239770457567,94.79000091552734,70.17499344034695,215.2654419088488,153.71461245949803,74.38418105419532,95.49449920654297,70.75820366435225,216.51952585487996,154.48781286784572,170108400,63346000,33200000,12642800,21385000
2020-01-10,75.13227844238281,94.15799713134766,71.10803985595703,217.037109375,154.01055908203125,75.69880941545972,95.34700012207031,71.40562076183926,218.8485793058094,155.8051581253616,74.6287043855216,94.0,70.64227194118779,216.4001121307267,153.85782414949148,75.19765137920673,95.26850128173828,71.1334235656956,218.17176119096214,155.423335359617,140644800,57074000,26258000,12119400,20725900
2020-01-13,76.73741912841797,94.56500244140625,71.65890502929688,220.86904907226562,155.86241149902344,76.76405445807666,94.9000015258789,71.73105459235768,220.9287651891354,155.89104747475955,75.33079296168272,94.04000091552734,70.92939109321708,218.18171750264293,153.93417326104023,75.44942915816804,94.56549835205078,71.42103622672836,218.56988744950831,154.41145894411306,121532000,55616000,30730000,14463400,21626500
2020-01-14,75.70120239257812,93.47200012207031,71.18914794921875,218.0323944091797,154.76466369628906,76.88509646087522,94.35549926757812,71.78828087353631,221.336827689664,156.1678848009803,75.57773417210761,92.92749786376953,71.04881242286127,217.60441881471306,154.37328593172,76.67446681398555,94.29399871826172,71.65740633981173,220.57043548158845,155.96741840076578,161954400,68818000,26076000,13288900,23477400
2020-01-15,75.37678527832031,93.10099792480469,71.61760711669922,220.11260986328125,155.76698303222656,76.3839404992497,93.94300079345703,71.69623359683659,220.64012249161075,156.49246675314848,74.9434163205122,92.75450134277344,71.24240200906924,219.1073531009804,155.18470835290648,75.50026089033786,93.61250305175781,71.31007924880507,219.57514961096498,155.23242527929864,121923600,57932000,21550000,10036500,21417900
2020-01-16,76.32099151611328,93.89700317382812,72.16300201416016,220.72972106933594,158.6211395263672,76.43236486391163,94.27950286865234,72.18987397034176,221.58568757150158,158.6879665208014,75.55836410557868,93.3010025024414,71.65741591572775,219.356189541225,156.57835716184766,75.92152071901803,94.14949798583984,71.92861841895987,221.52597145066423,156.88382702393884,108829200,53190000,26080000,10015300,23865400
2020-01-17,77.16594696044922,93.23600006103516,73.6240005493164,221.09796142578125,159.50889587402344,77.16836298058836,94.33200073242188,73.67525391932409,221.24725171492378,159.86208265119686,76.26289478458983,92.86250305175781,72.48096687413458,219.49551317773475,157.91474872726818,76.57036474816839,94.29450225830078,72.77904128791559,220.9884768180062,159.8143511653507,137816400,79946000,52424000,15905900,34371700
2020-01-21,76.64299774169922,94.5999984741211,73.7598648071289,220.4012451171875,158.93614196777344,77.23614913553814,94.7135009765625,74.13954981671559,221.32687527177663,160.54937000352857,76.5049964495613,93.0,73.16072423104607,218.0921207616,158.86931497665745,76.79310129941813,93.25,73.59813193167503,221.11786886980354,159.1079578324649,110843200,74156000,48930000,14275800,29517200
2020-01-22,76.91656494140625,94.37300109863281,73.8404769897461,220.2818145751953,158.1724853515625,77.47097865524583,95.125,74.67200421330017,221.7050992807162,159.88117639299483,76.82214068619064,94.16699981689453,73.78027135418839,220.2419937068497,158.15338984431403,77.12961059079142,94.80449676513672,74.13208973203312,221.26716085218317,159.79525389317888,101832400,64326000,28458000,12212800,24138800
2020-01-23,77.2869873046875,94.22899627685547,73.88127136230469,218.7291259765625,159.14613342285156,77.3668785027068,94.4990005493164,74.31968130965106,220.45102168291515,159.22250087718146,76.42024944843635,93.63800048828125,73.66381279979728,218.2414342292888,157.76200790642838,76.96983114393875,94.25550079345703,74.02359627922354,219.7144874693024,158.64021178281828,104472000,49692000,26650000,11195000,19680800
2020-01-24,77.06427764892578,93.08200073242188,72.95968627929688,216.91766357421875,157.54244995117188,78.27963949778808,94.74949645996094,74.35451457543209,220.73964680087644,159.91933786769545,76.87301303795586,92.37200164794922,72.810892040463,215.09624613326204,156.97925634771383,77.53396093858308,94.56849670410156,74.28584264769104,219.76424815377564,159.90024236223502,146537600,75324000,29786000,11905800,24918100
2020-01-27,74.79816436767578,91.41699981689453,71.24588775634766,213.86207580566406,154.90786743164062,75.48089322464955,92.05000305175781,71.4872342256204,215.04649614408382,155.95790194568534,73.81279759380895,90.76699829101562,70.63729373845622,211.50319794030844,152.92235689228698,75.06689673049003,91.0,71.23643435523881,212.10038951526025,153.82919693681342,161940000,70570000,34132000,13810700,32078100
2020-01-28,76.9141616821289,92.6624984741211,72.17991638183594,216.76837158203125,157.94338989257812,77.08605376922371,92.90550231933594,72.39388973398827,217.71392741769657,158.229749659442,75.58258723533865,91.5009994506836,71.17770407698895,212.5184124760095,155.66196483440646,75.6818509443487,92.0250015258789,71.74399693020122,215.12611757088712,156.33970237012244,162234000,56160000,29724000,13413800,24899900
2020-01-29,78.52416229248047,92.9000015258789,72.48843383789062,222.18284606933594,160.4061737060547,79.37395133976464,93.73750305175781,72.8586654186404,223.14829711100327,161.0839258176197,77.80753513570895,92.7509994506836,71.92562625371633,217.42526978783843,158.16293962662346,78.5507976259598,93.19999694824219,72.57601256289253,220.40124946328032,160.21526233672495,216229200,41760000,21566000,33181300,34754500
2020-01-30,78.41035461425781,93.53399658203125,72.36651611328125,208.54713439941406,164.9308624267578,78.46361788035526,93.64350128173828,72.41627364413384,210.43821579490228,166.14317230881892,77.1707812088342,92.53050231933594,71.40859442553979,203.78955766260955,163.03125990019,77.60415017442514,92.9000015258789,71.56285567943894,205.56120681461394,166.14317230881892,126743200,126548000,27110000,48775500,51597500
2020-01-31,74.93375396728516,100.43599700927734,71.29813385009766,200.96287536621094,162.4967041015625,78.1222655759737,102.78600311279297,73.13385521184509,207.71107023003282,164.56812253080582,74.63838622980492,100.1135025024414,71.01349157096435,200.1168565085857,161.87623844618003,77.69858276990855,102.57350158691406,73.04378594209612,207.45228012961394,164.38676617897787,199588400,311346000,43822000,31359900,36142700
2020-02-03,74.72795104980469,100.20999908447266,73.77726745605469,203.232177734375,166.45816040039062,75.89731214570682,102.42500305175781,73.96139234126558,204.17771838927396,166.57270430396193,73.16879799630816,100.01249694824219,72.48395130082353,201.55010284120308,162.6589558551061,73.67237193822604,100.52999877929688,72.73475112590975,202.48569587200018,162.6875918309989,173788400,117834000,71636000,15495600,30107000
2020-02-04,77.19499969482422,102.4834976196289,71.92662048339844,208.845703125,171.9374237060547,77.38626426505087,102.98999786376953,73.01789968192739,209.6120953581795,172.43380499267923,75.93121426303615,100.76850128173828,70.76318413051645,204.2374172898709,168.30050841453047,76.33794793595989,101.49400329589844,72.37846261578684,205.65075434101564,169.0928045525023,136616400,105786000,95880000,19628900,36433300
2020-02-05,77.82447814941406,101.99349975585938,71.95845794677734,209.1243896484375,171.72738647460938,78.62584328517734,103.5510025024414,72.88054776477253,211.73209455621011,175.83204634656084,77.21921702642419,101.5999984741211,71.14385592884095,207.73096302303483,170.3050844317914,78.32562874403418,103.5510025024414,72.83227848355087,211.5131253454738,175.66977095885156,118826800,87524000,36376000,12538200,39186300
2020-02-06,78.73477172851562,102.5114974975586,73.44735717773438,209.86093139648438,175.2879638671875,78.73719513687406,102.81500244140625,73.72553013530305,210.199332848112,175.46933477716024,77.53635935306664,101.23999786376953,72.17892341944845,208.35800492430647,171.8801367244904,78.09561993929752,102.0510025024414,72.25356352243467,209.48270907571722,172.74880025877843,105425600,63660000,37822000,10567500,27751400
2020-02-07,77.66454315185547,103.96399688720703,73.60359191894531,211.333984375,175.5361328125,78.48237001870756,104.92649841308594,73.90913031714187,211.82169130451058,177.19709227933504,77.17190518543269,101.90499877929688,72.92185381552126,208.94523340741898,174.19018365311317,78.23241099940878,102.09950256347656,73.02038176738384,209.3135081040746,174.54338497300552,117684000,101906000,28360000,12242500,33529100
2020-02-10,78.0334243774414,106.69550323486328,75.0740737915039,212.060546875,180.1276092529297,78.0334243774414,106.77999877929688,75.0850230307296,212.7970810502044,180.26124865813412,76.16480064339702,104.24800109863281,73.40903771305075,209.67181119483004,174.9251983541532,76.24488144952362,104.25050354003906,73.51005621420106,210.52777759787963,175.24020864476424,109348800,101124000,38302000,11856400,35844300
