Date,Open,Open,Open,Open,High,High,High,High,Low,Low,Low,Low,Close,Close,Close,Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT,AAPL,AMZN,GOOGL,MSFT
